-142.257000005 60.4970000311
-142.141999991 60.4809999835
-142.014000005 60.4810000136
-141.936999989 60.4639999579
-141.824000004 60.4520000133
-141.757 60.4540000224
-141.666 60.4369999847
-141.55599999 60.42100004
-141.401000003 60.408999983
-141.325999999 60.4049999645
-141.188999998 60.3919999707
-141.178000002 60.4200000365
-141.252000005 60.4620000084
-141.272999998 60.4630000209
-141.308999993 60.4619999845
-141.376000004 60.4749999685
-141.442000004 60.4790000217
-141.480000006 60.4839999846
-141.527000004 60.4840000366
-141.545000002 60.4909999703
-141.595000002 60.5009999934
-141.664000004 60.5260000004
-141.729999997 60.5479999637
-141.775000002 60.5450000146
-141.850999991 60.5449999891
-141.918999996 60.5529999962
-141.968000002 60.5679999802
-142.040999988 60.5739999594
-142.121999989 60.5840000082
-142.2 60.5949999796
